date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:44	6922/6922	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Sep%202023%2004:30:43%20GMT	https://demo.testfire.net/robots.txt		(from )
10:00:44	9369/9369	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:30:43%20GMT	https://demo.testfire.net/	D:/HTTRack%20Prj/Testfire/demo.testfire.net/index.html	(from )
10:00:45	1251/1251	---M--	200	added ('OK')	text/css	etag:W/%221251-1497451722000%22	https://demo.testfire.net/style.css	D:/HTTRack%20Prj/Testfire/demo.testfire.net/style.css	(from https://demo.testfire.net/)
10:00:47	9369/9369	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:30:45%20GMT	https://demo.testfire.net/index.jsp	D:/HTTRack%20Prj/Testfire/demo.testfire.net/index-2.html	(from https://demo.testfire.net/)
10:00:48	4989/4989	---M--	200	added ('OK')	image/gif	etag:W/%224989-1497451722000%22	https://demo.testfire.net/images/logo.gif	D:/HTTRack%20Prj/Testfire/demo.testfire.net/images/logo.gif	(from https://demo.testfire.net/)
10:00:49	8519/8519	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:30:48%20GMT	https://demo.testfire.net/login.jsp	D:/HTTRack%20Prj/Testfire/demo.testfire.net/login.html	(from https://demo.testfire.net/)
10:00:50	10113/10113	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:30:49%20GMT	https://demo.testfire.net/index.jsp?content=inside_contact.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/index86eb.html	(from https://demo.testfire.net/)
10:00:54	8499/8499	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:30:52%20GMT	https://demo.testfire.net/feedback.jsp	D:/HTTRack%20Prj/Testfire/demo.testfire.net/feedback.html	(from https://demo.testfire.net/)
10:00:55	894/894	---M--	200	added ('OK')	image/jpeg	etag:W/%22894-1497451722000%22	https://demo.testfire.net/images/gradient.jpg	D:/HTTRack%20Prj/Testfire/demo.testfire.net/images/gradient.jpg	(from https://demo.testfire.net/)
10:00:56	16209/16209	---M--	200	added ('OK')	image/jpeg	etag:W/%2216209-1497451722000%22	https://demo.testfire.net/images/header_pic.jpg	D:/HTTRack%20Prj/Testfire/demo.testfire.net/images/header_pic.jpg	(from https://demo.testfire.net/)
10:00:57	76/76	---M--	200	added ('OK')	image/gif	etag:W/%2276-1497451722000%22	https://demo.testfire.net/images/pf_lock.gif	D:/HTTRack%20Prj/Testfire/demo.testfire.net/images/pf_lock.gif	(from https://demo.testfire.net/)
10:00:59	8489/8489	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:30:58%20GMT	https://demo.testfire.net/index.jsp?content=personal.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/indexfadf.html	(from https://demo.testfire.net/)
10:01:00	8486/8486	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:30:59%20GMT	https://demo.testfire.net/index.jsp?content=business.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/index2a69.html	(from https://demo.testfire.net/)
10:01:02	8364/8364	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:31:00%20GMT	https://demo.testfire.net/index.jsp?content=inside.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/index4a61.html	(from https://demo.testfire.net/)
10:01:02	8149/8149	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:31:01%20GMT	https://demo.testfire.net/index.jsp?content=personal_deposit.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/indexeb20.html	(from https://demo.testfire.net/)
10:01:04	8054/8054	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:31:02%20GMT	https://demo.testfire.net/index.jsp?content=personal_checking.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/indexc207.html	(from https://demo.testfire.net/)
10:01:05	7796/7796	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:31:03%20GMT	https://demo.testfire.net/index.jsp?content=personal_loans.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/indexaf95.html	(from https://demo.testfire.net/)
10:01:06	8160/8160	---M--	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:31:04%20GMT	https://demo.testfire.net/index.jsp?content=personal_cards.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/indexb7e6.html	(from https://demo.testfire.net/)
10:01:15	8223/8223	---MC-	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202023%2004:31:11%20GMT	https://demo.testfire.net/index.jsp?content=personal_investments.htm	D:/HTTRack%20Prj/Testfire/demo.testfire.net/indexb374.html	(from https://demo.testfire.net/)
